0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0.08994575,0.08626257,0.08415429,0.08355351,0.08406581,0.08503895,0.08571322,0.08541282,0.08374865,0.08076282,0.07698412,0.07274212,0.07080026,0.07141496,0.07519533,0.08212776,0.09152503,0.10217078,0.11263902,0.12170799,0.12877746,0.13414820000000002,0.14017208,0.14721234,0.15845187,0.17561086,0.19932492,0.22874458,0.26147205,0.29384762,0.32157356,0.34051590000000004,0.3475216,0.33814603,0.31620318,0.28406864,0.2456127,0.20527060000000003,0.16725452,0.13488562,0.11015947,0.09361167,0.08448465,0.08110483,0.08168407,0.08367015,0.08539082,0.08598633,0.08524688,0.08347704,0.08128162,0.07934429,0.0782382,0.07831152,0.08004887
0.08474354,0.08322649,0.08272104,0.08291204,0.08330724,0.08333866,0.08249894,0.08047963,0.07727666,0.07322937,0.06897948,0.06477674,0.0629933,0.0634561,0.06648402,0.07204724,0.07982022,0.08930078,0.09995342,0.1113288,0.12313339999999999,0.13525003,0.1502941,0.16354951,0.17794713,0.19412833,0.21278676,0.23440412,0.25886667,0.2850775,0.31073958,0.332487,0.34643520000000005,0.3480196,0.33442193,0.30760735,0.2703507,0.2272475,0.18370092,0.14471427,0.11385802,0.09269258,0.08076394,0.07609703,0.07624625,0.07809158,0.07948869,0.07955062,0.07827844,0.07628855,0.07446271,0.07362974,0.07434858,0.07681406,0.08184527
0.09329114,0.0895543,0.08775532,0.0876472,0.08848335,0.08923674,0.08892574,0.08691952,0.08310889,0.0779082,0.07213484,0.06594537,0.06274371,0.0624577,0.06587955,0.07330602,0.0843446,0.09788883,0.11236815,0.12623763,0.13850272,0.14899203,0.15995343,0.16850409,0.17688677,0.18515725,0.19365278,0.20358917,0.21705818,0.23605399999999999,0.26081875,0.28845355,0.3128508,0.32721457,0.31994036,0.29387426,0.25332105,0.20637374,0.16196492,0.12687713,0.10399541,0.09231984,0.08835535,0.08797764,0.08775201,0.08585574,0.08220525,0.07749286,0.07273638,0.06896310000000001,0.06704558,0.06759571,0.0708687,0.07669472,0.08620909
0.09837739,0.08947675,0.0831738,0.08140807,0.0837193,0.08763985,0.09020333,0.08951239,0.08537535,0.07885949,0.07154195,0.06376164,0.05951838,0.05820148,0.06016068,0.06537531,0.07368247,0.08484803,0.09813653,0.11182861,0.12361662,0.13202612,0.13896303,0.14560036,0.15573697,0.16905265,0.18273722,0.19463997,0.20666413,0.22484915,0.25484782,0.29549570000000003,0.33566743,0.35893446,0.34219462,0.29299027,0.22631268,0.16316418,0.11957411,0.09961753,0.09637599,0.09877972,0.09887318,0.09482889,0.08807664,0.08407097,0.08200972,0.08046304,0.07811497,0.07507907,0.07278977,0.07285656,0.07591487,0.08121045,0.08810253
0.07749826,0.08437082,0.08627826,0.0850597,0.08267923,0.0806078,0.07950816,0.07927692,0.0793435,0.07903939,0.0779071,0.07540238,0.07287014,0.07079698,0.07012919,0.07163334,0.07564318,0.08198537,0.09013924,0.09953229,0.10975848,0.12055248,0.13372403,0.14410943,0.15324646,0.16121429,0.16951597,0.18104321,0.1989018,0.22439098,0.2551842,0.28496277,0.30515435,0.30643459999999995,0.2854251,0.24836314,0.20385057,0.16163957,0.12907201,0.10897595,0.09973758,0.09708899,0.09643283,0.09456919,0.08917658,0.08271189,0.0759334,0.07028711,0.06679682,0.06578018,0.06667331,0.06801741,0.06772017,0.06361571,0.05158353
0.09535889,0.09047564,0.08665873,0.08408374,0.08260725,0.08178763,0.08101045,0.07968335,0.0774432,0.0743033,0.07068606,0.06675898,0.06481221,0.06479031,0.06701379,0.07141454,0.07763545,0.0852323,0.09388796,0.10353595,0.11432105,0.1264096,0.14253551,0.15680733,0.17112349999999998,0.184988,0.19850521,0.21255209,0.22847207,0.24728797,0.26872814,0.29055774,0.30867726,0.31858695,0.31233543,0.29150832,0.25828898,0.21772592,0.17627601,0.13993883,0.11269514,0.09575877,0.08778274,0.08578353,0.08649246,0.08650248,0.08448987,0.08041421,0.07519753,0.07022531,0.06685534,0.06604952,0.06818663,0.0730518,0.08151976
0.09053348,0.08567064,0.08285739,0.08233581,0.08363178,0.08564852,0.08703817,0.08668242,0.08408067,0.07949497,0.07384703,0.06756125,0.06443746,0.06455765,0.06860319999999999,0.0764143,0.08686823,0.09812974,0.10834673,0.11658679,0.12353137,0.13139826,0.14578432,0.1634059,0.18470189,0.20599899,0.22349378,0.23592171,0.24605116,0.25955895,0.28138676,0.31154117,0.34312943,0.36636105,0.36095533,0.32927188,0.27737632,0.21791077,0.16449702,0.1263125,0.10550317,0.09814727,0.09750469,0.09746834,0.09361473,0.08689993,0.07867936,0.07098702,0.06540351,0.06276484,0.06324542,0.06656484,0.07217029999999999,0.07935566,0.08897559
0.09678160000000001,0.09006162,0.08490123,0.08188191,0.08105117,0.08182262,0.08309016,0.08354983,0.08214734,0.07848115,0.07300930000000001,0.06582149,0.06122305,0.05941415,0.06112838,0.06622985,0.0738557,0.08281378,0.09206775,0.10108584,0.10991983,0.11900919999999998,0.13095012,0.14211917,0.15454905,0.16850120000000002,0.18461388,0.20385265,0.22699231,0.2537446,0.28194237,0.30732048,0.3242526,0.32602155,0.30878854,0.27582395,0.23235321,0.18599898,0.14449996,0.11346161,0.09500635,0.08773044,0.08781037,0.09067528,0.09258188,0.09067502,0.08559161,0.07868152,0.07183118,0.06681593,0.06487718,0.06654286,0.07164317,0.07945657,0.09091091
0.09216311,0.08782531,0.08487322,0.08324488,0.08262976,0.08255307,0.08250006,0.08203492,0.08088313,0.07896139,0.07636136,0.07269499,0.06964521,0.06718619,0.06603263,0.06701638,0.07096872,0.07852636,0.08991092,0.10476577,0.1221413,0.14068428,0.16256663,0.17950672,0.19536778,0.21128672,0.22906896,0.25047016,0.27626956,0.30545735,0.33488572,0.35964203,0.37414527,0.37156236,0.35043967,0.31372952,0.26633734,0.21516412,0.1673562,0.12855732,0.10171789,0.08677989,0.08123076,0.08123614,0.08318125,0.08320756,0.08058835,0.07574394,0.07008009,0.06535853,0.06311699999999999,0.06427836,0.06899991,0.07674442,0.08858848
0.09241414,0.08491445,0.08180928,0.08126760000000001,0.08230901,0.08344197,0.08428502,0.08460164,0.08454061,0.08388448,0.08280873,0.08087087,0.07900929,0.077636,0.0777123,0.08048939999999999,0.0865624,0.09590077,0.10716176,0.11836171,0.12730336,0.13264394,0.13455129,0.13519216,0.1385796,0.14825368,0.16621327,0.19163442,0.22093129,0.24838185,0.26788259999999997,0.27470326,0.26740956,0.24319386,0.21610951,0.18929982,0.16767812,0.15360951,0.14640737,0.14277577,0.13926625,0.13278127,0.12243581,0.10951161,0.09445119,0.08546376,0.08108449,0.08096242,0.08288503,0.0844872,0.08397603,0.08179021,0.08065343,0.08522344,0.10598302
0.0903516,0.08828096,0.08676322,0.08596291,0.08588327,0.08639078,0.08725144,0.08816306,0.08877735,0.08871472,0.08761065,0.08457254,0.08066452,0.07603207,0.07168566,0.06902258,0.06951995,0.07429839999999999,0.08369760000000001,0.09703733,0.11271663,0.12867160000000002,0.14566334,0.1571161,0.16677152,0.17647247,0.18851002,0.20463984,0.22516148,0.24842565,0.2709998,0.2884822,0.29673028,0.29088378,0.27284253,0.24552898,0.21332271,0.18115519,0.15324970000000002,0.1321552,0.11835863,0.11051933,0.10618801,0.10273033,0.09700583,0.0900672,0.08170798,0.07332115,0.06656794,0.06283408,0.06283665,0.06647538,0.07291998,0.08087006,0.09039108
0.09101841,0.08870164,0.08729716,0.08661324,0.08629718,0.08591387,0.08505622,0.08346359,0.08111469,0.07826237,0.07539999,0.07285014,0.07220510000000001,0.07342067,0.07673015,0.08210233,0.08927971,0.09786309,0.10741535,0.11755994,0.1280655,0.13890749,0.15269760000000002,0.1654351,0.18007442,0.19739476,0.21798041,0.24190566,0.26842478,0.29578367,0.3212538,0.3414643,0.35299972,0.35166612,0.33658138,0.30967775,0.27371427,0.23279175,0.19154248,0.15422156,0.12392762,0.10215613,0.08875452,0.0822553,0.08043322,0.08119585,0.08208791,0.08207598,0.08091273,0.07897324,0.07698257,0.07572769,0.07582905,0.07760699,0.08191994
